;Name;ISIN;;Categoria;12 Mo Yield (%)
;Invesco AT1 Capital Bond ETF EUR Hdg Dis;IE00BFZPF439;#N/A;#N/A;6.17642
;Invesco AT1 Capital Bond ETF GBP Hdg Dis;IE00BYZLWM19;#N/A;#N/A;6.12428
;Invesco AT1 Capital Bond ETF USD Dis;IE00BG0TQB18;#N/A;#N/A;6.11677
;UBS(Lux)FS Blmbg USD EM Sovn GBPH A;LU1324516480;#N/A;#N/A;6.21611
;UBS(Lux)FS Blmbg USD EM SovnUSD Adis;LU1324516050;#N/A;#N/A;6.47732
;Invesco US High Yield Faln Angl ETF;IE00BD0Q9673;#N/A;#N/A;6.74168
;iShares € High Yield CorpBd ETF EUR Dist;IE00B66F4759;#N/A;#N/A;6.74371
;PIMCO S/T HY CorpBd Idx Source ETF € H;IE00BF8HV600;#N/A;#N/A;6.34789
;PIMCO S/T HY CorpBd Idx Source ETF Inc;IE00B7N3YW49;#N/A;#N/A;6.42351
;SPDR® Blmbrg SASB US Hi Yld Corp ESG ETF;IE00B99FL386;#N/A;#N/A;6.68309
;UBS(Lux)FS Blmbg TIPS 10+ USD Adis;LU1459802754;#N/A;#N/A;6.42767
;UBS(Lux)FS Blmbg TIPS 10+ HGBP Adis;LU1459803133;#N/A;#N/A;6.33273
;Invesco FTSE Em Mkts Hi Div Low Vol ETF;IE00BYYXBF44;#N/A;#N/A;6.09103
FL;iShares EM Dividend ETF USD Dist;IE00B652H904;#N/A;#N/A;8.05624
;BNPP E MSCI Eurp SRI S Sr PAB5%CpdETFDis;LU1753045415;#N/A;#N/A;6.09851
;iShares Euro Dividend ETF EUR Dist;IE00B0M62S72;#N/A;#N/A;6.14953
;iShares MSCI Target UK Rl Est ETF £ Dist;IE00BRHZ0398;#N/A;#N/A;6.4693